名前:

日付:

学期:

                    都道府県庁所在地クイズ (問題番号 21)

1. 島根県の都道府県庁所在地は?
 A. 松江市
 B. 仙台市
 C. 京都市
 D. 岐阜市

2. 京都府の都道府県庁所在地は?
 A. 京都市
 B. 仙台市
 C. 前橋市
 D. 神戸市

3. 福岡県の都道府県庁所在地は?
 A. 横浜市
 B. 甲府市
 C. 津市
 D. 福岡市

4. 東京都の都道府県庁所在地は?
 A. 大津市
 B. 鳥取市
 C. 長野市
 D. 東京

5. 三重県の都道府県庁所在地は?
 A. 新潟市
 B. 奈良市
 C. 高松市
 D. 津市

6. 群馬県の都道府県庁所在地は?
 A. 札幌市
 B. 仙台市
 C. 岡山市
 D. 前橋市

7. 広島県の都道府県庁所在地は?
 A. 広島市
 B. 佐賀市
 C. 静岡市
 D. 名古屋市

8. 栃木県の都道府県庁所在地は?
 A. 高知市
 B. 宇都宮市
 C. 熊本市
 D. 札幌市

9. 兵庫県の都道府県庁所在地は?
 A. 長崎市
 B. 岐阜市
 C. 千葉市
 D. 神戸市

10. 福井県の都道府県庁所在地は?
 A. 新潟市
 B. さいたま市
 C. 徳島市
 D. 福井市

11. 長崎県の都道府県庁所在地は?
 A. 静岡市
 B. 高知市
 C. 鳥取市
 D. 長崎市

12. 埼玉県の都道府県庁所在地は?
 A. さいたま市
 B. 奈良市
 C. 福井市
 D. 名古屋市

13. 高知県の都道府県庁所在地は?
 A. 高松市
 B. 高知市
 C. 山形市
 D. 福島市

14. 香川県の都道府県庁所在地は?
 A. 宮崎市
 B. 高松市
 C. 岐阜市
 D. 熊本市

15. 山形県の都道府県庁所在地は?
 A. 静岡市
 B. 山形市
 C. 仙台市
 D. 甲府市

16. 千葉県の都道府県庁所在地は?
 A. 鹿児島市
 B. 新潟市
 C. 千葉市
 D. 宇都宮市

17. 和歌山県の都道府県庁所在地は?
 A. 大阪市
 B. 和歌山市
 C. 京都市
 D. 青森市

18. 熊本県の都道府県庁所在地は?
 A. 宇都宮市
 B. 岡山市
 C. 甲府市
 D. 熊本市

19. 山口県の都道府県庁所在地は?
 A. 大分市
 B. 山口市
 C. 高知市
 D. 広島市

20. 岐阜県の都道府県庁所在地は?
 A. 鳥取市
 B. 福島市
 C. 岡山市
 D. 岐阜市

21. 滋賀県の都道府県庁所在地は?
 A. 横浜市
 B. 長野市
 C. 奈良市
 D. 大津市

22. 新潟県の都道府県庁所在地は?
 A. 熊本市
 B. 鳥取市
 C. 新潟市
 D. 大津市

23. 北海道の都道府県庁所在地は?
 A. 青森市
 B. 札幌市
 C. 和歌山市
 D. 山口市

24. 大阪府の都道府県庁所在地は?
 A. 津市
 B. 大阪市
 C. 秋田市
 D. 山口市

25. 岡山県の都道府県庁所在地は?
 A. 岡山市
 B. 熊本市
 C. 奈良市
 D. 山形市

26. 神奈川県の都道府県庁所在地は?
 A. 大津市
 B. 福井市
 C. 高松市
 D. 横浜市

27. 鳥取県の都道府県庁所在地は?
 A. 鳥取市
 B. 広島市
 C. 和歌山市
 D. 神戸市

28. 青森県の都道府県庁所在地は?
 A. 青森市
 B. 金沢市
 C. 岐阜市
 D. 徳島市

29. 富山県の都道府県庁所在地は?
 A. 富山市
 B. 鳥取市
 C. 札幌市
 D. 山口市

30. 山梨県の都道府県庁所在地は?
 A. 甲府市
 B. 東京
 C. 高松市
 D. 松山市

31. 静岡県の都道府県庁所在地は?
 A. 京都市
 B. 富山市
 C. 東京
 D. 静岡市

32. 沖縄県の都道府県庁所在地は?
 A. 那覇市
 B. 奈良市
 C. 宮崎市
 D. 徳島市

33. 秋田県の都道府県庁所在地は?
 A. 秋田市
 B. 東京
 C. 仙台市
 D. 徳島市

34. 佐賀県の都道府県庁所在地は?
 A. 佐賀市
 B. 熊本市
 C. 鳥取市
 D. 広島市

35. 愛媛県の都道府県庁所在地は?
 A. 松山市
 B. 金沢市
 C. 奈良市
 D. 熊本市

36. 福島県の都道府県庁所在地は?
 A. 長野市
 B. 大津市
 C. 熊本市
 D. 福島市

37. 愛知県の都道府県庁所在地は?
 A. 名古屋市
 B. 高松市
 C. 前橋市
 D. 広島市

38. 奈良県の都道府県庁所在地は?
 A. 富山市
 B. 広島市
 C. 奈良市
 D. 岐阜市

39. 石川県の都道府県庁所在地は?
 A. 甲府市
 B. 仙台市
 C. 札幌市
 D. 金沢市

40. 茨城県の都道府県庁所在地は?
 A. 大分市
 B. 水戸市
 C. さいたま市
 D. 長崎市

41. 大分県の都道府県庁所在地は?
 A. 宇都宮市
 B. 岐阜市
 C. 徳島市
 D. 大分市

42. 徳島県の都道府県庁所在地は?
 A. 徳島市
 B. 岐阜市
 C. 名古屋市
 D. 神戸市

43. 岩手県の都道府県庁所在地は?
 A. 松山市
 B. 盛岡市
 C. 高知市
 D. 横浜市

44. 長野県の都道府県庁所在地は?
 A. 長野市
 B. 鳥取市
 C. 松山市
 D. 富山市

45. 宮崎県の都道府県庁所在地は?
 A. 宮崎市
 B. 静岡市
 C. 盛岡市
 D. 福井市

46. 鹿児島県の都道府県庁所在地は?
 A. 奈良市
 B. 福岡市
 C. 鹿児島市
 D. 仙台市

47. 宮城県の都道府県庁所在地は?
 A. 宇都宮市
 B. 仙台市
 C. 横浜市
 D. 福島市

