名前:

日付:

学期:

                    都道府県庁所在地クイズ (問題番号 32)

1. 岩手県の都道府県庁所在地は?
 A. 盛岡市
 B. 宮崎市
 C. 宇都宮市
 D. 秋田市

2. 和歌山県の都道府県庁所在地は?
 A. 大分市
 B. 静岡市
 C. 福井市
 D. 和歌山市

3. 愛媛県の都道府県庁所在地は?
 A. 福島市
 B. 名古屋市
 C. 松山市
 D. 青森市

4. 鹿児島県の都道府県庁所在地は?
 A. 甲府市
 B. 岐阜市
 C. 鹿児島市
 D. 青森市

5. 静岡県の都道府県庁所在地は?
 A. 静岡市
 B. 神戸市
 C. 津市
 D. 鹿児島市

6. 福岡県の都道府県庁所在地は?
 A. 福岡市
 B. 那覇市
 C. 松山市
 D. 大分市

7. 千葉県の都道府県庁所在地は?
 A. 松山市
 B. 京都市
 C. 福井市
 D. 千葉市

8. 山口県の都道府県庁所在地は?
 A. 高松市
 B. 山口市
 C. 新潟市
 D. 長崎市

9. 山形県の都道府県庁所在地は?
 A. 松山市
 B. 山形市
 C. 札幌市
 D. 前橋市

10. 青森県の都道府県庁所在地は?
 A. 宇都宮市
 B. 秋田市
 C. 松江市
 D. 青森市

11. 愛知県の都道府県庁所在地は?
 A. 山口市
 B. 那覇市
 C. 高知市
 D. 名古屋市

12. 高知県の都道府県庁所在地は?
 A. 仙台市
 B. さいたま市
 C. 高知市
 D. 宮崎市

13. 滋賀県の都道府県庁所在地は?
 A. 大津市
 B. 甲府市
 C. 盛岡市
 D. 大阪市

14. 長崎県の都道府県庁所在地は?
 A. 京都市
 B. 大分市
 C. 宇都宮市
 D. 長崎市

15. 宮城県の都道府県庁所在地は?
 A. 岡山市
 B. 大津市
 C. 佐賀市
 D. 仙台市

16. 大分県の都道府県庁所在地は?
 A. 神戸市
 B. 大分市
 C. 広島市
 D. 京都市

17. 福島県の都道府県庁所在地は?
 A. 仙台市
 B. 京都市
 C. 福島市
 D. 鹿児島市

18. 大阪府の都道府県庁所在地は?
 A. 札幌市
 B. 大阪市
 C. 金沢市
 D. 山口市

19. 茨城県の都道府県庁所在地は?
 A. 水戸市
 B. 前橋市
 C. 那覇市
 D. 千葉市

20. 京都府の都道府県庁所在地は?
 A. 広島市
 B. 松江市
 C. 京都市
 D. 長野市

21. 鳥取県の都道府県庁所在地は?
 A. 福島市
 B. 和歌山市
 C. 鳥取市
 D. 鹿児島市

22. 秋田県の都道府県庁所在地は?
 A. 広島市
 B. 山口市
 C. 秋田市
 D. 盛岡市

23. 香川県の都道府県庁所在地は?
 A. 高松市
 B. 長野市
 C. 大分市
 D. 水戸市

24. 福井県の都道府県庁所在地は?
 A. 福井市
 B. 奈良市
 C. 盛岡市
 D. 富山市

25. 富山県の都道府県庁所在地は?
 A. 福井市
 B. 富山市
 C. 山形市
 D. 東京

26. 兵庫県の都道府県庁所在地は?
 A. 奈良市
 B. 徳島市
 C. 広島市
 D. 神戸市

27. 広島県の都道府県庁所在地は?
 A. 福井市
 B. 広島市
 C. 那覇市
 D. 仙台市

28. 群馬県の都道府県庁所在地は?
 A. 前橋市
 B. 札幌市
 C. 高知市
 D. 大津市

29. 奈良県の都道府県庁所在地は?
 A. 長崎市
 B. 松山市
 C. 鹿児島市
 D. 奈良市

30. 宮崎県の都道府県庁所在地は?
 A. 宮崎市
 B. 神戸市
 C. 山口市
 D. 宇都宮市

31. 佐賀県の都道府県庁所在地は?
 A. 広島市
 B. 奈良市
 C. 佐賀市
 D. 秋田市

32. 島根県の都道府県庁所在地は?
 A. 岐阜市
 B. 松江市
 C. 山口市
 D. 横浜市

33. 徳島県の都道府県庁所在地は?
 A. 鹿児島市
 B. 神戸市
 C. 山口市
 D. 徳島市

34. 岐阜県の都道府県庁所在地は?
 A. 那覇市
 B. 岐阜市
 C. 新潟市
 D. 前橋市

35. 長野県の都道府県庁所在地は?
 A. 仙台市
 B. 奈良市
 C. 長野市
 D. 福岡市

36. 神奈川県の都道府県庁所在地は?
 A. 福岡市
 B. さいたま市
 C. 高知市
 D. 横浜市

37. 埼玉県の都道府県庁所在地は?
 A. 新潟市
 B. さいたま市
 C. 福井市
 D. 佐賀市

38. 山梨県の都道府県庁所在地は?
 A. 甲府市
 B. 東京
 C. 福岡市
 D. 大阪市

39. 熊本県の都道府県庁所在地は?
 A. 津市
 B. 松江市
 C. 熊本市
 D. 高松市

40. 三重県の都道府県庁所在地は?
 A. 神戸市
 B. 和歌山市
 C. 津市
 D. 広島市

41. 岡山県の都道府県庁所在地は?
 A. 静岡市
 B. 岡山市
 C. 福井市
 D. 山形市

42. 北海道の都道府県庁所在地は?
 A. 札幌市
 B. 富山市
 C. 鳥取市
 D. 甲府市

43. 東京都の都道府県庁所在地は?
 A. 東京
 B. 大阪市
 C. 福岡市
 D. 津市

44. 沖縄県の都道府県庁所在地は?
 A. 那覇市
 B. 仙台市
 C. 鹿児島市
 D. 松山市

45. 栃木県の都道府県庁所在地は?
 A. 奈良市
 B. 宇都宮市
 C. 宮崎市
 D. 鹿児島市

46. 新潟県の都道府県庁所在地は?
 A. 新潟市
 B. 京都市
 C. 長崎市
 D. 高松市

47. 石川県の都道府県庁所在地は?
 A. 金沢市
 B. 千葉市
 C. 長崎市
 D. 東京

