名前:

日付:

学期:

                    都道府県庁所在地クイズ (問題番号 6)

1. 北海道の都道府県庁所在地は?
 A. 札幌市
 B. 金沢市
 C. 横浜市
 D. 山口市

2. 京都府の都道府県庁所在地は?
 A. 奈良市
 B. 東京
 C. 京都市
 D. 高松市

3. 埼玉県の都道府県庁所在地は?
 A. 名古屋市
 B. 金沢市
 C. さいたま市
 D. 秋田市

4. 秋田県の都道府県庁所在地は?
 A. 秋田市
 B. 甲府市
 C. 奈良市
 D. 青森市

5. 千葉県の都道府県庁所在地は?
 A. 長野市
 B. 盛岡市
 C. 千葉市
 D. 福井市

6. 岡山県の都道府県庁所在地は?
 A. 岡山市
 B. 山口市
 C. 富山市
 D. 松江市

7. 富山県の都道府県庁所在地は?
 A. 前橋市
 B. 福井市
 C. 富山市
 D. 静岡市

8. 石川県の都道府県庁所在地は?
 A. 秋田市
 B. 金沢市
 C. 千葉市
 D. 京都市

9. 静岡県の都道府県庁所在地は?
 A. さいたま市
 B. 青森市
 C. 静岡市
 D. 鳥取市

10. 和歌山県の都道府県庁所在地は?
 A. 宮崎市
 B. 那覇市
 C. 和歌山市
 D. 水戸市

11. 群馬県の都道府県庁所在地は?
 A. 奈良市
 B. 岐阜市
 C. 前橋市
 D. 長崎市

12. 岩手県の都道府県庁所在地は?
 A. 長崎市
 B. 鹿児島市
 C. 盛岡市
 D. 松山市

13. 山口県の都道府県庁所在地は?
 A. 山口市
 B. 秋田市
 C. 水戸市
 D. 佐賀市

14. 青森県の都道府県庁所在地は?
 A. 長野市
 B. 鹿児島市
 C. 札幌市
 D. 青森市

15. 愛知県の都道府県庁所在地は?
 A. 佐賀市
 B. 名古屋市
 C. 高知市
 D. 金沢市

16. 栃木県の都道府県庁所在地は?
 A. 福井市
 B. 宇都宮市
 C. 鳥取市
 D. 札幌市

17. 愛媛県の都道府県庁所在地は?
 A. 松山市
 B. 大阪市
 C. 和歌山市
 D. 神戸市

18. 新潟県の都道府県庁所在地は?
 A. 新潟市
 B. 横浜市
 C. 静岡市
 D. 福島市

19. 鳥取県の都道府県庁所在地は?
 A. 和歌山市
 B. 岐阜市
 C. 鳥取市
 D. 長野市

20. 鹿児島県の都道府県庁所在地は?
 A. 鹿児島市
 B. 金沢市
 C. 宮崎市
 D. 奈良市

21. 福井県の都道府県庁所在地は?
 A. 松江市
 B. 福井市
 C. 徳島市
 D. 東京

22. 沖縄県の都道府県庁所在地は?
 A. 長崎市
 B. 那覇市
 C. 盛岡市
 D. 福島市

23. 東京都の都道府県庁所在地は?
 A. 東京
 B. 宮崎市
 C. 富山市
 D. 岐阜市

24. 香川県の都道府県庁所在地は?
 A. 松山市
 B. 高松市
 C. 横浜市
 D. 那覇市

25. 神奈川県の都道府県庁所在地は?
 A. 青森市
 B. 福井市
 C. 横浜市
 D. 大阪市

26. 福島県の都道府県庁所在地は?
 A. 京都市
 B. 名古屋市
 C. 新潟市
 D. 福島市

27. 宮城県の都道府県庁所在地は?
 A. 青森市
 B. 盛岡市
 C. 千葉市
 D. 仙台市

28. 広島県の都道府県庁所在地は?
 A. 青森市
 B. 広島市
 C. 奈良市
 D. 大分市

29. 滋賀県の都道府県庁所在地は?
 A. 甲府市
 B. 大津市
 C. 水戸市
 D. 秋田市

30. 佐賀県の都道府県庁所在地は?
 A. 甲府市
 B. 金沢市
 C. 福島市
 D. 佐賀市

31. 徳島県の都道府県庁所在地は?
 A. 千葉市
 B. 福島市
 C. 山形市
 D. 徳島市

32. 大阪府の都道府県庁所在地は?
 A. 長野市
 B. 大阪市
 C. 奈良市
 D. 岐阜市

33. 島根県の都道府県庁所在地は?
 A. 福井市
 B. 松江市
 C. 奈良市
 D. 長野市

34. 大分県の都道府県庁所在地は?
 A. 大分市
 B. 富山市
 C. 広島市
 D. 奈良市

35. 茨城県の都道府県庁所在地は?
 A. 和歌山市
 B. 熊本市
 C. 水戸市
 D. 長崎市

36. 福岡県の都道府県庁所在地は?
 A. 福岡市
 B. 長野市
 C. 秋田市
 D. 山口市

37. 山形県の都道府県庁所在地は?
 A. 山形市
 B. 和歌山市
 C. 奈良市
 D. 静岡市

38. 長野県の都道府県庁所在地は?
 A. 和歌山市
 B. 京都市
 C. 長野市
 D. 高知市

39. 山梨県の都道府県庁所在地は?
 A. 青森市
 B. 大津市
 C. 鳥取市
 D. 甲府市

40. 奈良県の都道府県庁所在地は?
 A. 福井市
 B. 水戸市
 C. 仙台市
 D. 奈良市

41. 熊本県の都道府県庁所在地は?
 A. 宇都宮市
 B. 熊本市
 C. 徳島市
 D. 那覇市

42. 兵庫県の都道府県庁所在地は?
 A. 奈良市
 B. さいたま市
 C. 広島市
 D. 神戸市

43. 高知県の都道府県庁所在地は?
 A. 高知市
 B. 前橋市
 C. 岐阜市
 D. 那覇市

44. 宮崎県の都道府県庁所在地は?
 A. 宮崎市
 B. さいたま市
 C. 金沢市
 D. 横浜市

45. 長崎県の都道府県庁所在地は?
 A. 京都市
 B. 甲府市
 C. 長崎市
 D. 高知市

46. 三重県の都道府県庁所在地は?
 A. 津市
 B. 佐賀市
 C. 福島市
 D. 前橋市

47. 岐阜県の都道府県庁所在地は?
 A. 新潟市
 B. 大分市
 C. 岡山市
 D. 岐阜市

